,canton,Hommes ,Femmes ,Suisses ,E_trangers 
,,,,,
,Zurich,739814,748 155,1092631,395338
,Berne,503 789,522 724,861 614:,164899
,Lucerne,200 897,202500,329264,74133
,Uri,18 427,17718,31 850,4295
,Schwytz,79 852,76011,123 597,32 266
,Obwald,18965,18 413,31 892,5486
,Nidwald,21 795,20 761,36 521,6035
,Glaris,20329,19818,30 650,9. 407
,Zoug,62 684,61 264,89 809,34 139
,Fribourg,156334,155 580,242 087,69827
,Soleure,134300,135 141,210 240,59201
,Bâle-Ville,93 212,99858,124 026,69 044
,Bâle-Campagne,140 142,145 482,221 990,63634
,Schaffhouse,40 020,40 749,59 889,20 880
,Appenzell Rh.-Ext.,27 778,27 176,46044,8 910
,Appenzell Rh.-Int.,8237,7766,14230,1773
,Saint-Gall,251 526,251 026,382 829,119 723
,Grisons,98 853,98 697,160 932,36 618
,Argovie,333364,330 098,499 712,163 750
,Thurgovie,136 199,134 510,204378,66331
,Tessin,172877,181 498,254 828,99 547
,Vaud,385389,399 433,520 957,263 865
,Valais,168 072,171104,260 444,78732
,Neuchatel,87312,91 255,132 878,45 580
,Genève,237 112,252 412,292 641,196 883
,Jura,36 158,36 964,62 471,10 651
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
